4,9,39.97,116.45,39.98,116.44
2,16,39.86,116.39,39.86,116.38
2,13,39.92,116.49,39.91,116.49
3,12,40.13,116.43,40.13,116.42
1,8,39.88,116.39,39.88,116.38
6,10,40.06,116.38,40.07,116.37
1,7,39.82,116.35,39.81,116.37
5,14,40.13,116.26,40.13,116.27
2,8,39.98,116.43,39.98,116.42
3,6,39.88,116.55,39.87,116.55
5,21,40.13,116.61,40.12,116.62
2,18,40.09,116.5,40.1,116.5
0,19,40.04,116.42,40.03,116.43
6,17,39.93,116.27,39.93,116.27
0,12,40.03,116.23,40.03,116.23
6,9,39.87,116.46,39.86,116.47
3,22,39.94,116.3,39.94,116.29
0,11,39.94,116.17,39.93,116.17
3,15,39.92,116.41,39.92,116.42
6,20,39.97,116.29,39.96,116.28
5,12,40.01,116.33,40,116.33
0,22,39.91,116.26,39.92,116.26
6,14,39.82,116.5,39.82,116.5
4,12,39.84,116.32,39.84,116.32
2,8,39.93,116.3,39.92,116.31
3,19,39.94,116.3,39.93,116.3
4,20,39.91,116.3,39.91,116.3
2,9,39.84,116.53,39.85,116.52
1,17,39.81,116.35,39.82,116.34
0,1,39.93,116.5,39.93,116.5
4,17,39.84,116.4,39.85,116.4
2,6,39.86,116.42,39.86,116.41
1,13,39.93,116.43,39.93,116.44
1,6,39.86,116.46,39.9,116.46
6,20,39.89,116.42,39.89,116.43
3,20,39.88,116.26,39.87,116.26
6,15,39.92,116.33,39.93,116.32
4,16,39.84,116.24,39.83,116.24
4,20,39.96,116.37,39.95,116.38
5,10,39.97,116.43,39.97,116.43
2,21,39.84,116.31,39.84,116.3
0,14,39.92,116.46,39.91,116.46
5,8,39.85,116.24,39.85,116.24
3,9,39.99,116.36,39.99,116.36
6,20,39.85,116.39,39.85,116.39
3,7,39.84,116.36,39.84,116.36
3,8,39.86,116.31,39.86,116.31
3,8,39.91,116.66,39.91,116.66
4,20,39.82,116.17,39.81,116.17
4,7,39.9,116.27,39.91,116.26
6,10,39.86,116.36,39.86,116.37
0,16,39.98,116.37,39.97,116.37
0,21,40.04,116.25,40.04,116.25
0,21,39.89,116.36,39.89,116.35
3,17,39.97,116.41,39.98,116.4
4,7,39.93,116.5,39.92,116.5
4,17,39.83,116.4,39.82,116.4
0,9,39.97,116.35,39.98,116.35
3,18,39.92,116.44,39.91,116.46
2,10,39.89,116.4,39.89,116.4
6,7,39.85,116.32,39.85,116.31
2,10,39.93,116.61,39.93,116.6
0,6,39.82,116.31,39.82,116.32
1,16,39.88,116.51,39.87,116.51
1,11,40,116.43,39.99,116.42
3,16,39.84,116.46,39.83,116.45
2,18,39.98,116.5,39.97,116.49
6,10,39.85,116.34,39.84,116.34
3,18,39.92,116.48,39.93,116.47
3,6,39.84,116.39,39.85,116.38
3,7,39.92,116.55,39.91,116.55
3,14,40.04,116.31,40.03,116.32
3,18,39.89,116.48,39.9,116.47
3,8,39.98,116.31,39.97,116.3
5,19,39.77,116.43,39.76,116.43
4,9,39.94,116.31,39.94,116.31
2,7,39.87,116.45,39.87,116.46
2,7,39.87,116.45,39.86,116.47
3,8,39.81,116.42,39.81,116.42
2,8,39.96,116.23,39.95,116.25
1,12,39.95,116.45,39.94,116.47
5,15,39.9,116.37,39.9,116.37
1,18,40.08,116.28,40.08,116.27
6,18,39.98,116.38,39.98,116.38
3,14,39.92,116.44,39.92,116.45
0,23,39.9,116.44,39.9,116.44
3,9,39.96,116.13,39.96,116.13
3,19,39.89,116.51,39.89,116.52
1,8,39.85,116.39,39.85,116.39
3,13,39.73,116.56,39.73,116.56
0,16,39.92,116.43,39.92,116.42
6,22,40.06,116.17,40.06,116.17
4,8,40.04,116.32,40.04,116.31
2,13,39.84,116.43,39.84,116.43
1,7,39.89,116.66,39.89,116.66
0,19,39.96,116.42,39.96,116.41
1,7,39.85,116.43,39.84,116.42
4,22,39.93,116.45,39.94,116.44
6,6,39.75,116.56,39.75,116.56
1,12,39.86,116.44,39.88,116.44
5,9,39.93,116.47,39.93,116.46
3,7,39.97,116.29,39.97,116.29
0,9,39.92,116.3,39.92,116.3
1,9,39.9,116.4,39.9,116.39
6,17,39.88,116.47,39.89,116.46
1,7,40.13,116.62,40.12,116.61
1,7,39.89,116.37,39.88,116.36
1,13,39.94,116.68,39.93,116.67
2,18,39.92,116.53,39.91,116.53
0,20,39.93,116.31,39.93,116.31
5,20,40.01,116.4,40.01,116.41
5,17,39.9,116.5,39.89,116.51
3,7,39.76,116.49,39.75,116.52
1,19,39.79,116.33,39.79,116.32
4,6,39.91,116.22,39.91,116.22
3,7,39.85,116.43,39.85,116.43
0,18,39.94,116.64,39.93,116.66
0,8,39.89,116.32,39.88,116.33
0,10,39.84,116.28,39.83,116.29
2,20,39.75,116.32,39.76,116.31
5,9,39.91,116.52,39.91,116.52
4,17,39.78,116.51,39.78,116.51
2,18,39.91,116.34,39.9,116.33
0,13,39.94,116.3,39.94,116.31
1,11,39.87,116.28,39.87,116.29
4,11,39.92,116.65,39.92,116.66
2,20,39.8,116.43,39.8,116.42
4,7,39.94,116.37,39.93,116.37
6,12,39.91,116.44,39.9,116.44
4,23,39.85,116.36,39.84,116.38
2,18,39.8,116.43,39.81,116.43
2,8,39.91,116.26,39.91,116.26
3,17,39.91,116.46,39.92,116.46
0,16,39.83,116.3,39.82,116.32
4,15,39.86,116.24,39.86,116.24
5,19,39.86,116.46,39.86,116.46
3,19,39.82,116.29,39.85,116.28
2,18,39.96,116.47,39.96,116.46
4,7,40.03,116.33,40.03,116.32
1,21,39.87,116.5,39.87,116.5
5,15,39.86,116.42,39.86,116.41
5,17,39.87,116.48,39.87,116.48
6,11,39.93,116.5,39.93,116.5
1,8,39.98,116.32,39.98,116.31
6,18,40.07,116.36,40.07,116.35
0,17,39.92,116.19,39.91,116.2
3,20,39.86,116.54,39.86,116.54
4,7,40.07,116.43,40.07,116.43
3,17,39.93,116.42,39.93,116.42
1,19,39.83,116.47,39.85,116.46
6,16,40.07,116.35,40.06,116.36
0,19,39.82,116.14,39.81,116.17
6,10,39.83,116.47,39.83,116.46
4,8,39.88,116.46,39.9,116.45
6,19,39.89,116.3,39.89,116.3
4,8,39.93,116.17,39.93,116.17
0,17,39.93,116.44,39.93,116.44
0,8,39.91,116.5,39.91,116.49
6,17,39.86,116.37,39.88,116.36
2,7,39.89,116.37,39.9,116.37
1,7,40.09,116.37,40.08,116.36
4,10,39.94,116.31,39.95,116.3
1,11,39.99,116.47,39.98,116.48
4,13,39.96,116.44,39.95,116.45
3,18,39.95,116.37,39.96,116.36
6,14,39.87,116.4,39.86,116.39
1,16,40.1,116.31,40.09,116.32
5,19,39.99,116.46,39.99,116.45
5,9,39.77,116.51,39.77,116.5
6,18,39.9,116.51,39.89,116.5
6,14,39.92,116.58,39.92,116.59
3,17,39.99,116.35,39.99,116.34
0,5,39.91,116.63,39.91,116.62
6,18,39.88,116.68,39.87,116.68
2,21,39.92,116.66,39.92,116.65
4,7,39.79,116.31,39.81,116.3
4,19,39.94,116.25,39.93,116.25
3,14,39.93,116.46,39.93,116.46
5,20,39.91,116.26,39.91,116.25
6,20,39.95,116.57,39.94,116.56
6,8,39.82,116.46,39.83,116.46
2,6,40.1,116.37,40.12,116.37
4,7,39.72,116.09,39.75,116.09
1,22,39.93,116.44,39.92,116.45
5,10,40.04,116.42,40.04,116.41
4,14,39.95,116.34,39.95,116.34
4,11,40.09,116.3,40.09,116.3
2,18,39.99,116.48,39.98,116.47
1,18,40.15,116.28,40.15,116.28
2,7,39.86,116.39,39.89,116.39
3,7,39.84,116.32,39.83,116.31
1,15,39.86,116.43,39.86,116.43
1,12,39.94,116.49,39.93,116.49
6,14,39.88,116.27,39.88,116.27
6,18,39.76,116.49,39.76,116.49
3,21,39.91,116.33,39.9,116.35
4,7,39.91,116.19,39.91,116.18
3,18,39.89,116.5,39.89,116.52
5,20,39.94,116.24,39.93,116.24
2,11,40,116.41,40,116.42
0,18,39.88,116.46,39.88,116.47
1,18,39.88,116.23,39.9,116.23
4,12,39.91,116.54,39.91,116.55
3,10,39.98,116.41,39.98,116.4
